transaction_id,item_code,warehouse_code,transaction_type,quantity,transaction_date
TXN00000001,ITEM1150,,ADJUSTMENT,19,03-09-2024
TXN00000002,ITEM0332,WH_EU_01,RECEIPT,-17,28-09-2024
TXN00000003,ITEM0577,WH_US_01,ADJUSTMENT,-122,16-06-2024
TXN00000004,ITEM0749,WH_IN_01,ADJUSTMENT,-305,24-05-2025
TXN00000005,ITEM0611,,RECEIPT,-159,23-02-2025
TXN00000006,ITEM1109,WH_US_01,RECEIPT,401,22-06-2025
TXN00000007,ITEM0644,WH_IN_01,ISSUE,241,10-09-2024
TXN00000008,ITEM0844,WH_US_01,ISSUE,2,29-09-2025
TXN00000009,ITEM0900,WH_EU_01,ISSUE,-195,06-03-2025
TXN00000010,ITEM0375,WH_EU_01,ADJUSTMENT,353,26-08-2025
TXN00000011,ITEM0170,WH_IN_01,ADJUSTMENT,312,08-11-2025
TXN00000012,ITEM0512,,ADJUSTMENT,60,27-10-2025
TXN00000013,ITEM0867,WH_EU_01,ISSUE,-303,16-05-2024
TXN00000014,ITEM0235,WH_US_01,ADJUSTMENT,334,27-03-2025
TXN00000015,ITEM0765,WH_IN_01,ISSUE,222,24-05-2025
TXN00000016,ITEM0120,,INVALID,-437,27-03-2025
TXN00000017,ITEM1081,WH_IN_01,ADJUSTMENT,360,23-05-2025
TXN00000018,ITEM0566,WH_US_01,INVALID,-248,18-06-2024
TXN00000019,ITEM0661,WH_US_01,INVALID,-471,02-06-2025
TXN00000020,ITEM1041,WH_EU_01,RECEIPT,151,02-11-2024
TXN00000021,ITEM0516,WH_EU_01,ADJUSTMENT,467,01-07-2024
TXN00000022,ITEM1143,WH_IN_01,RECEIPT,257,11-12-2025
TXN00000023,ITEM0404,,RECEIPT,252,07-12-2025
TXN00000024,ITEM0867,WH_EU_01,ADJUSTMENT,-411,09-10-2025
TXN00000025,ITEM0292,WH_US_01,ISSUE,-430,22-06-2024
TXN00000026,ITEM1081,WH_EU_01,RECEIPT,-2,23-01-2025
TXN00000027,ITEM0796,,INVALID,-245,08-02-2024
TXN00000028,ITEM1167,WH_US_01,ADJUSTMENT,85,31-07-2025
TXN00000029,ITEM0028,,ISSUE,-188,22-06-2024
TXN00000030,ITEM0450,WH_IN_01,INVALID,490,07-11-2024
TXN00000031,ITEM0256,,RECEIPT,253,28-01-2025
TXN00000032,ITEM0871,WH_IN_01,RECEIPT,470,27-01-2024
TXN00000033,ITEM0358,WH_EU_01,ISSUE,438,04-08-2025
TXN00000034,ITEM0795,,ISSUE,188,23-01-2026
TXN00000035,ITEM0583,WH_US_01,INVALID,465,28-11-2024
TXN00000036,ITEM0430,WH_IN_01,ADJUSTMENT,243,18-08-2025
TXN00000037,ITEM0890,,RECEIPT,-390,21-07-2024
TXN00000038,ITEM1003,WH_EU_01,ADJUSTMENT,-268,15-03-2025
TXN00000039,ITEM1076,,INVALID,-28,18-08-2024
TXN00000040,ITEM1166,,INVALID,-190,23-06-2025
TXN00000041,ITEM0581,WH_IN_01,ISSUE,-410,25-06-2024
TXN00000042,ITEM0341,WH_EU_01,ADJUSTMENT,0,20-09-2025
TXN00000043,ITEM0768,,RECEIPT,64,22-01-2025
TXN00000044,ITEM0048,WH_US_01,INVALID,132,18-03-2024
TXN00000045,ITEM0460,,INVALID,-327,21-12-2024
TXN00000046,ITEM0371,WH_EU_01,RECEIPT,-186,28-08-2024
TXN00000047,ITEM0149,WH_US_01,RECEIPT,294,28-03-2025
TXN00000048,ITEM0302,WH_EU_01,RECEIPT,5,25-12-2024
