payment_id,invoice_id,payment_date,payment_method,payment_amount,payment_status
PAY0000001,INV000666,24-11-2024,ACH,232021.72,SUCCESS
PAY0000002,INV000385,20-09-2025,ACH,172751.67,SUCCESS
PAY0000003,INV001031,03-07-2024,CASH,261721.26,SUCCESS
PAY0000004,INV000604,31-10-2024,CASH,599768.09,
PAY0000005,INV000449,25-03-2024,WIRE,330139.22,SUCCESS
PAY0000006,INV000491,17-09-2025,CASH,412243.78,
PAY0000007,INV001351,10-03-2024,ACH,218194.8,SUCCESS
PAY0000008,INV000786,24-08-2025,CHEQUE,555623.55,SUCCESS
PAY0000009,INV002759,27-07-2025,CASH,149025.63,
PAY0000010,INV001155,15-05-2025,CASH,314508.24,
PAY0000011,INV003530,21-02-2024,ACH,177506.08,
PAY0000012,INV002539,24-01-2025,WIRE,364310.52,FAILED
PAY0000013,INV002187,12-11-2024,WIRE,433989.58,SUCCESS
PAY0000014,INV002327,07-02-2024,WIRE,472653.66,SUCCESS
PAY0000015,INV000810,26-09-2025,ACH,331733.48,SUCCESS
PAY0000016,INV002635,04-10-2025,ACH,370882.34,
PAY0000017,INV002866,10-10-2025,CASH,191102.59,SUCCESS
PAY0000018,INV003181,30-10-2024,ACH,528949.25,FAILED
PAY0000019,INV000203,04-09-2024,CHEQUE,553570.83,FAILED
PAY0000020,INV003301,29-04-2025,CHEQUE,15156.82,FAILED
PAY0000021,INV002823,05-05-2025,CHEQUE,291260.69,FAILED
PAY0000022,INV000788,02-08-2024,ACH,176270.77,SUCCESS
PAY0000023,INV003773,28-10-2025,ACH,252030.53,
PAY0000024,INV000167,30-04-2024,CASH,19561.32,SUCCESS
PAY0000025,INV002969,23-01-2026,CHEQUE,349905.98,SUCCESS
PAY0000026,INV001137,09-10-2024,WIRE,6571.63,FAILED
PAY0000027,INV003543,07-07-2024,WIRE,282656.05,
PAY0000028,INV001881,25-04-2024,CASH,296941.15,FAILED
PAY0000029,INV003030,04-12-2025,ACH,412767.36,SUCCESS
PAY0000030,INV000003,27-12-2025,CHEQUE,499979.06,FAILED
PAY0000031,INV003076,12-01-2026,CHEQUE,204443.9,
PAY0000032,INV001155,21-11-2025,ACH,297238.82,FAILED
PAY0000033,INV000944,19-11-2025,CASH,127982.93,SUCCESS
PAY0000034,INV000681,26-02-2024,CASH,509234.73,
PAY0000035,INV002358,05-05-2025,CHEQUE,119872.59,SUCCESS
PAY0000036,INV001048,04-09-2024,CHEQUE,163659.32,FAILED
PAY0000037,INV002964,17-04-2025,WIRE,97218.95,SUCCESS
PAY0000038,INV001547,18-09-2025,CHEQUE,561356.56,FAILED
PAY0000039,INV002660,14-11-2024,ACH,249219.82,SUCCESS
PAY0000040,INV003787,04-05-2024,WIRE,35138.71,SUCCESS
PAY0000041,INV003181,06-05-2025,ACH,594742.48,
PAY0000042,INV003304,07-03-2025,CHEQUE,140674.8,FAILED
PAY0000043,INV003050,06-07-2025,WIRE,79785.88,FAILED
PAY0000044,INV003733,25-11-2025,WIRE,304310.05,
PAY0000045,INV001453,10-10-2025,ACH,304060.08,
PAY0000046,INV002496,09-02-2025,CASH,12264.61,FAILED
PAY0000047,INV002718,29-06-2025,CHEQUE,20109.8,SUCCESS
PAY0000048,INV003530,08-05-2025,CASH,160979.14,
PAY0000049,INV001606,31-05-2024,CASH,333594.47,SUCCESS
PAY0000050,INV001755,24-04-2025,ACH,542987.25,FAILED
PAY0000051,INV002493,10-04-2024,ACH,157003.83,SUCCESS
PAY0000052,INV000026,07-10-2024,CHEQUE,431810.79,
PAY0000053,INV002581,22-08-2025,ACH,66120.02,SUCCESS
PAY0000054,INV001207,02-01-2025,CHEQUE,465855.17,
PAY0000055,INV001168,01-07-2024,WIRE,195884.57,
PAY0000056,INV002823,09-11-2025,CHEQUE,470329.81,FAILED
PAY0000057,INV002398,20-09-2025,CHEQUE,362642.25,FAILED
PAY0000058,INV003119,07-09-2024,WIRE,144758.73,FAILED
PAY0000059,INV001720,14-10-2025,ACH,276242.1,SUCCESS
PAY0000060,INV003650,06-06-2025,CASH,44330.87,
PAY0000061,INV001483,23-08-2024,WIRE,33976.59,
PAY0000062,INV000406,30-07-2024,CASH,483483.56,
PAY0000063,INV002576,11-10-2025,CHEQUE,146024.57,SUCCESS
PAY0000064,INV002278,04-07-2024,WIRE,276196.68,
PAY0000065,INV001074,18-10-2024,WIRE,334354.59,
PAY0000066,INV002149,26-05-2024,CHEQUE,283536.79,FAILED
PAY0000067,INV001489,22-11-2024,ACH,44018.51,
PAY0000068,INV002947,16-04-2024,WIRE,216886.23,FAILED
PAY0000069,INV001321,20-12-2025,WIRE,252056.68,SUCCESS
PAY0000070,INV003054,24-08-2024,ACH,413506.64,
PAY0000071,INV002166,06-09-2025,ACH,311246.34,SUCCESS
PAY0000072,INV001581,30-10-2025,CASH,580037.65,SUCCESS
PAY0000073,INV002430,01-07-2025,CASH,150539.92,SUCCESS
PAY0000074,INV003483,01-06-2025,CASH,330415.04,SUCCESS
PAY0000075,INV003152,18-11-2025,CASH,437907.78,FAILED
PAY0000076,INV003800,02-07-2024,WIRE,352145.41,
PAY0000077,INV002240,03-01-2026,CASH,493607.95,
PAY0000078,INV003171,23-11-2025,ACH,30241.88,FAILED
PAY0000079,INV001397,07-06-2025,CHEQUE,497863.1,
PAY0000080,INV001667,02-12-2025,WIRE,227106.96,
PAY0000081,INV001033,31-07-2025,WIRE,445711.31,SUCCESS
PAY0000082,INV003423,27-05-2025,WIRE,21245.83,
PAY0000083,INV000837,05-06-2024,ACH,97622.82,FAILED
PAY0000084,INV001198,29-01-2025,CASH,105922.71,FAILED
PAY0000085,INV002667,29-11-2025,CASH,292355.71,
PAY0000086,INV003985,26-02-2025,ACH,249460.91,SUCCESS
PAY0000087,INV002426,27-03-2025,CHEQUE,427787.5,
PAY0000088,INV003525,21-07-2024,WIRE,108124.16,
PAY0000089,INV002874,05-09-2024,ACH,357625.54,SUCCESS
PAY0000090,INV002957,01-06-2024,WIRE,105161.37,FAILED
PAY0000091,INV003104,09-04-2024,ACH,499816.32,
PAY0000092,INV000224,03-12-2025,ACH,43791.6,SUCCESS
PAY0000093,INV002574,22-07-2025,ACH,101025.3,FAILED
PAY0000094,INV001292,11-03-2025,WIRE,419793.74,FAILED
PAY0000095,INV001896,25-10-2024,ACH,348520.97,
PAY0000096,INV002646,31-07-2025,ACH,206314.87,
PAY0000097,INV000808,10-05-2025,CASH,139694.51,FAILED
PAY0000098,INV002176,31-05-2024,WIRE,75594.04,SUCCESS
PAY0000099,INV001333,12-11-2025,ACH,88249.75,FAILED
PAY0000100,INV000567,30-12-2025,CASH,28224.35,SUCCESS
PAY0000101,INV002602,20-05-2024,WIRE,323205.44,SUCCESS
PAY0000102,INV003640,28-08-2025,ACH,550619.86,SUCCESS
PAY0000103,INV003758,14-10-2024,WIRE,287577.03,
PAY0000104,INV002156,12-11-2025,WIRE,560550.6,SUCCESS
PAY0000105,INV002580,24-05-2025,ACH,99041.54,SUCCESS
PAY0000106,INV001081,27-11-2024,ACH,447575.3,
PAY0000107,INV003243,21-03-2024,CASH,209451.31,SUCCESS
PAY0000108,INV003891,29-03-2025,WIRE,35168.92,SUCCESS
PAY0000109,INV001815,17-02-2024,CHEQUE,198883.17,SUCCESS
PAY0000110,INV002972,28-02-2025,CHEQUE,422029.15,SUCCESS
PAY0000111,INV002413,04-07-2025,WIRE,39168.5,
PAY0000112,INV002965,31-01-2024,CASH,69165.67,
PAY0000113,INV000116,31-05-2025,CHEQUE,376294.02,SUCCESS
PAY0000114,INV003980,30-12-2025,WIRE,502095.65,FAILED
PAY0000115,INV000096,18-10-2024,CHEQUE,63473.79,SUCCESS
PAY0000116,INV002972,06-03-2024,CHEQUE,34818.03,SUCCESS
