po_line_id,po_id,item_code,quantity,unit_price,line_amount
POL0000001,PO000885,ITEM0298,215,3239.48,244.44
POL0000002,PO001980,ITEM0899,0,4287.66,0
POL0000003,PO000788,ITEM0845,272,4991.86,1357785.92
POL0000004,PO002570,ITEM1179,255,2904.48,740642.4
POL0000005,PO001072,ITEM0746,491,1935.52,950340.32
POL0000006,PO001494,ITEM0481,124,2156.57,267414.68
POL0000007,PO002840,ITEM0276,172,385.2,66254.4
POL0000008,PO001012,ITEM1103,413,4931.28,2036618.64
POL0000009,PO002079,ITEM0975,39,4905.06,191297.34
POL0000010,PO002475,ITEM0467,43,4036.27,173559.61
POL0000011,PO002270,ITEM0459,357,3510.72,1253327.04
POL0000012,PO001886,ITEM0897,284,4183.07,1187991.88
POL0000013,PO000702,ITEM0046,213,323.29,68860.77
POL0000014,PO001424,ITEM0977,276,3251.39,897383.64
POL0000015,PO001452,ITEM0134,65,318.88,20727.2
POL0000016,PO002981,ITEM0057,131,2848.77,373188.87
POL0000017,PO000547,ITEM0812,241,2154.15,519150.15
POL0000018,PO002856,ITEM0624,221,1549.13,342357.73
POL0000019,PO002081,ITEM0834,281,3992.08,1121774.48
POL0000020,PO002404,ITEM0645,266,4900.89,1303636.74
POL0000021,PO002917,ITEM0734,487,3047.97,1484361.39
POL0000022,PO002515,ITEM0131,386,4886.77,1886293.22
POL0000023,PO000798,ITEM0510,363,806.04,292592.52
POL0000024,PO000735,ITEM0372,386,3794.11,928.9
POL0000025,PO000365,ITEM0193,363,597.5,216892.5
POL0000026,PO002808,ITEM0794,283,3504.64,991813.12
POL0000027,PO000568,ITEM0704,185,3482.08,644184.8
POL0000028,PO002897,ITEM0882,149,1775.78,264591.22
POL0000029,PO001068,ITEM0823,245,453.67,111149.15
POL0000030,PO002593,ITEM0168,169,4928.18,832862.42
POL0000031,PO001056,ITEM0042,374,470.14,175832.36
POL0000032,PO000243,ITEM0765,21,4910.05,103111.05
POL0000033,PO002168,ITEM0026,-10,4818,385.37
POL0000034,PO002327,ITEM1154,4,4000.19,16000.76
POL0000035,PO000773,ITEM1021,25,4778.56,119464
POL0000036,PO000398,ITEM0317,101,4878.87,492765.87
POL0000037,PO001806,ITEM0364,283,884.64,250353.12
POL0000038,PO000125,ITEM0080,406,4094.98,1662561.88
POL0000039,PO000493,ITEM0639,444,4790.16,2126831.04
POL0000040,PO000739,ITEM1062,45,1745.27,78537.15
POL0000041,PO002472,ITEM0318,41,2488.26,102018.66
POL0000042,PO001863,ITEM1123,461,1686.98,777697.78
POL0000043,PO000477,ITEM1136,391,2239.68,875714.88
POL0000044,PO000981,ITEM1006,116,1828.47,212102.52
POL0000045,PO000241,ITEM0984,196,207.95,40758.2
POL0000046,PO002422,ITEM0203,455,3298.3,1500726.5
POL0000047,PO001313,ITEM1080,36,3317.56,119432.16
POL0000048,PO001615,ITEM1119,349,2659.63,928210.87
POL0000049,PO001835,ITEM0406,134,1601.58,214611.72
POL0000050,PO001783,ITEM0773,310,2131.6,660796
POL0000051,PO001317,ITEM1150,2,2456.2,4912.4
POL0000052,PO001177,ITEM0113,189,1529.49,289073.61
POL0000053,PO000366,ITEM0629,11,940.39,10344.29
POL0000054,PO002224,ITEM0356,372,4501.38,1674513.36
POL0000055,PO000115,ITEM0097,368,239.78,88239.04
POL0000056,PO002203,ITEM0108,187,941.2,176004.4
POL0000057,PO002083,ITEM1074,340,4368.53,1485300.2
POL0000058,PO002864,ITEM0092,250,1854.12,463530
POL0000059,PO000761,ITEM0454,40,2286.17,91446.8
POL0000060,PO002029,ITEM0424,27,3570.17,96394.59
POL0000061,PO001563,ITEM0422,303,77.96,23621.88
POL0000062,PO000020,ITEM0493,49,4621.56,226456.44
POL0000063,PO000726,ITEM0799,458,4156.52,1903686.16
POL0000064,PO001647,ITEM0092,180,4587.92,825825.6
POL0000065,PO002739,ITEM0529,296,1230.87,364337.52
POL0000066,PO002909,ITEM0635,206,3401.98,700807.88
POL0000067,PO001117,ITEM0839,439,3266.68,1434072.52
POL0000068,PO001545,ITEM0570,202,4117.77,831789.54
POL0000069,PO002000,ITEM0520,87,4083.62,355274.94
POL0000070,PO000172,ITEM0920,310,3462.62,1073412.2
POL0000071,PO002612,ITEM0235,343,1114.87,382400.41
POL0000072,PO000273,ITEM0376,451,3955.95,1784133.45
POL0000073,PO001051,ITEM0816,75,4717.52,353814
POL0000074,PO002336,ITEM0536,136,1423.52,193598.72
POL0000075,PO000828,ITEM0178,51,1974.53,100701.03
POL0000076,PO002123,ITEM0074,244,1003.94,244961.36
POL0000077,PO000156,ITEM0795,45,557.03,25066.35
POL0000078,PO000277,ITEM0496,380,3468.08,1317870.4
POL0000079,PO000585,ITEM0906,179,2190.54,392106.66
POL0000080,PO002063,ITEM0388,11,3314.38,36458.18
POL0000081,PO002330,ITEM0030,361,1589.61,573849.21
POL0000082,PO001028,ITEM0360,164,4297.44,704780.16
POL0000083,PO000232,ITEM0802,92,4507.81,414718.52
POL0000084,PO000261,ITEM0462,474,1459.03,691580.22
POL0000085,PO002954,ITEM0899,89,1679.44,441.09
POL0000086,PO002165,ITEM0590,421,1228.88,517358.48
POL0000087,PO001301,ITEM0117,63,2735.62,172344.06
POL0000088,PO002189,ITEM0036,23,2049.62,47141.26
POL0000089,PO001318,ITEM0759,76,3620.4,901.62
POL0000090,PO001562,ITEM0008,340,1168.31,397225.4
POL0000091,PO002323,ITEM0246,406,1937.64,786681.84
POL0000092,PO002309,ITEM1118,380,3141.43,1193743.4
POL0000093,PO001952,ITEM1171,322,4119.99,1326636.78
POL0000094,PO001585,ITEM0921,134,3428.05,459358.7
POL0000095,PO002510,ITEM0513,111,3414.41,378999.51
POL0000096,PO001963,ITEM0314,495,3183.49,1575827.55
POL0000097,PO000592,ITEM0588,440,1800.68,792299.2
POL0000098,PO001592,ITEM0527,79,4815.2,380400.8
POL0000099,PO001769,ITEM0615,178,3700.03,658605.34
POL0000100,PO002218,ITEM0465,225,2051.86,461668.5
POL0000101,PO001446,ITEM0427,54,4200.68,226836.72
POL0000102,PO001887,ITEM0927,205,4418.11,905712.55
POL0000103,PO001384,ITEM0668,188,2317.59,435706.92
POL0000104,PO000844,ITEM0504,58,3616.54,209759.32
POL0000105,PO002988,ITEM0745,87,2841.93,247247.91
POL0000106,PO001673,ITEM0768,270,4312.19,1164291.3
POL0000107,PO001927,ITEM0223,99,1964.15,194450.85
POL0000108,PO002555,ITEM0845,221,1501.6,331853.6
POL0000109,PO000642,ITEM0788,101,1688.42,170530.42
POL0000110,PO001815,ITEM0049,211,901.58,190233.38
POL0000111,PO000706,ITEM0560,187,2836.96,530511.52
POL0000112,PO000639,ITEM0824,338,2816.82,952085.16
POL0000113,PO001685,ITEM0649,400,989.05,395620
POL0000114,PO001994,ITEM0648,434,3692.33,1602471.22
POL0000115,PO002573,ITEM0073,380,3061.62,1163415.6
POL0000116,PO000088,ITEM0018,392,326.8,128105.6
POL0000117,PO000369,ITEM0642,435,263.76,114735.6
POL0000118,PO000617,ITEM0437,172,1015.04,174586.88
POL0000119,PO001293,ITEM1195,23,1814.7,41738.1
POL0000120,PO002882,ITEM0359,218,2375.44,517845.92
POL0000121,PO000655,ITEM0312,41,4011.68,164478.88
POL0000122,PO002533,ITEM0840,50,2661.53,133076.5
POL0000123,PO002867,ITEM0576,272,3143.41,855007.52
POL0000124,PO000465,ITEM0301,452,1246.95,563621.4
POL0000125,PO000556,ITEM0781,39,3778.37,147356.43
POL0000126,PO000082,ITEM0743,234,852.29,199435.86
POL0000127,PO001833,ITEM0041,289,2859.55,826409.95
POL0000128,PO001409,ITEM0696,474,3358.81,1592075.94
POL0000129,PO000726,ITEM0277,443,1849.84,819479.12
POL0000130,PO000613,ITEM0228,336,1968.08,661274.88
POL0000131,PO000808,ITEM0657,394,4802.07,1892015.58
POL0000132,PO000341,ITEM0727,395,4743.81,1873804.95
POL0000133,PO002548,ITEM0856,399,2473.75,987026.25
POL0000134,PO000787,ITEM1052,176,4256.26,749101.76
POL0000135,PO000097,ITEM1003,256,4521.4,1157478.4
POL0000136,PO000979,ITEM0628,75,260.06,19504.5
POL0000137,PO000166,ITEM0559,500,2164.75,1082375
POL0000138,PO002701,ITEM0165,378,3283.47,1241151.66
POL0000139,PO002557,ITEM0022,6,653.25,3919.5
POL0000140,PO000818,ITEM0963,-1,1513.55,-1513.55
POL0000141,PO001108,ITEM0769,8,3476.44,27811.52
POL0000142,PO001739,ITEM0834,401,2562.92,1027730.92
POL0000143,PO002946,ITEM0536,57,4714.53,268728.21
POL0000144,PO000342,ITEM0922,240,1408.21,337970.4
POL0000145,PO001306,ITEM1043,33,4027.38,132903.54
POL0000146,PO000439,ITEM0498,1,4053.78,4053.78
POL0000147,PO002343,ITEM0486,181,324.8,58788.8
POL0000148,PO002962,ITEM0028,432,377.06,162889.92
POL0000149,PO002530,ITEM0145,164,4350.8,713531.2
POL0000150,PO001888,ITEM0678,310,4828.22,1496748.2
POL0000151,PO000231,ITEM0285,44,3062.83,134764.52
POL0000152,PO000761,ITEM0188,371,4632.81,1718772.51
POL0000153,PO002809,ITEM0478,36,19.21,691.56
POL0000154,PO001313,ITEM1085,357,397.06,141750.42
POL0000155,PO002029,ITEM0382,408,986.5,402492
POL0000156,PO000251,ITEM0907,364,3380.8,1230611.2
POL0000157,PO000810,ITEM0540,-7,397.79,-2784.53
POL0000158,PO000776,ITEM0254,267,2877.17,768204.39
POL0000159,PO001317,ITEM0467,28,940.99,26347.72
POL0000160,PO001216,ITEM0845,315,4180.2,1316763
POL0000161,PO001028,ITEM0707,136,1091.29,148415.44
POL0000162,PO002800,ITEM0516,261,34.92,9114.12
POL0000163,PO000258,ITEM1012,72,323.27,23275.44
POL0000164,PO001762,ITEM0164,365,302.02,110237.3
POL0000165,PO000050,ITEM0181,450,3580.55,1611247.5
POL0000166,PO001481,ITEM0135,384,4581.67,1759361.28
POL0000167,PO001847,ITEM0734,362,4198.63,1519904.06
POL0000168,PO001230,ITEM1002,235,1852.22,435271.7
POL0000169,PO002406,ITEM0350,371,951.43,353.54
POL0000170,PO001329,ITEM0826,228,4399.87,1003170.36
