po_id,supplier_id,po_date,currency,po_status,total_po_amount
PO000001,S00414,12-12-2025,GBP,CREATED,183391.05
PO000002,S00211,16-06-2024,GBP,APPROVED,495067.68
PO000003,S00118,08-07-2024,EUR,CREATED,325136.54
PO000004,S00446,01-06-2025,USD,CREATED,199665.54
PO000005,S00197,28-04-2024,,CANCELLED,23338.04
PO000006,S00005,12-06-2024,INR,CREATED,247428.49
PO000007,S00227,07-02-2025,EUR,CREATED,446869.56
PO000008,S00477,25-01-2024,USD,APPROVED,101765.61
PO000009,S00451,16-04-2024,,CANCELLED,131903
PO000010,S00480,04-09-2025,USD,CLOSED,449152.38
PO000011,S00294,03-09-2025,USD,APPROVED,464027.01
PO000012,S00165,22-04-2024,USD,APPROVED,291453.23
PO000013,S00392,05-11-2024,GBP,CREATED,146134.83
PO000014,S00294,04-06-2024,INR,CANCELLED,336902.66
PO000015,S00282,14-09-2024,EUR,CANCELLED,376582.68
PO000016,S00073,16-06-2025,USD,CLOSED,22116.7
PO000017,S00228,11-08-2024,INR,CREATED,166999.34
PO000018,S00400,13-05-2024,,CANCELLED,484304.87
PO000019,S00171,03-08-2025,USD,CLOSED,390691.81
PO000020,S00235,27-02-2024,GBP,APPROVED,174684.65
PO000021,S00488,02-07-2025,GBP,CANCELLED,88797.61
PO000022,S00305,17-01-2025,GBP,CREATED,384944.54
PO000023,S00155,15-08-2025,INR,CREATED,36429.19
PO000024,S00080,20-10-2025,GBP,APPROVED,368525.92
PO000025,S00166,05-03-2025,EUR,CREATED,41217.82
PO000026,S00489,05-04-2024,EUR,CANCELLED,176758.34
PO000027,S00142,17-03-2025,USD,APPROVED,39085.1
PO000028,S00225,26-09-2025,GBP,CANCELLED,47162.93
PO000029,S00046,26-12-2024,EUR,CREATED,296446.9
PO000030,S00408,15-03-2024,EUR,CANCELLED,1232.01
PO000031,S00216,22-04-2024,GBP,CREATED,361046.14
PO000032,S00292,27-08-2024,INR,APPROVED,341084.58
PO000033,S00088,01-02-2025,INR,CLOSED,147071.29
PO000034,S00258,30-10-2024,INR,CREATED,79439.74
PO000035,S00145,14-01-2026,GBP,CLOSED,239536.81
PO000036,S00040,04-10-2025,EUR,CLOSED,471832.26
PO000037,S00376,19-07-2025,GBP,APPROVED,226220.12
PO000038,S00071,01-03-2025,EUR,CREATED,474155.85
PO000039,S00174,08-04-2024,,CANCELLED,401058.61
PO000040,S00172,16-12-2025,GBP,CLOSED,212461.19
PO000041,S00428,02-02-2025,,APPROVED,146719.82
PO000042,S00314,13-07-2025,INR,CANCELLED,153662.56
PO000043,INVALID_SUP,30-05-2025,GBP,CLOSED,142181.32
PO000044,S00362,21-12-2025,GBP,APPROVED,159572.55
PO000045,S00147,28-05-2024,GBP,CLOSED,52513.35
PO000046,S00294,16-06-2024,INR,APPROVED,339264.88
PO000047,S00287,02-10-2025,USD,CANCELLED,471202.33
PO000048,S00109,12-07-2025,GBP,CLOSED,414797.31
PO000049,S00036,10-11-2024,GBP,CANCELLED,65285.46
PO000050,S00159,11-11-2025,INR,CLOSED,327624.8
PO000051,S00373,24-06-2024,GBP,CANCELLED,32352.39
PO000052,S00312,20-08-2024,GBP,CANCELLED,264855.54
PO000053,S00479,03-06-2024,GBP,CREATED,394314.06
PO000054,S00188,05-09-2024,,CREATED,50231.56
PO000055,S00130,07-08-2025,EUR,APPROVED,321734.92
PO000056,S00023,18-07-2024,,CANCELLED,483239.62
PO000057,S00173,17-02-2024,GBP,CREATED,326.63
PO000058,S00135,13-04-2024,INR,APPROVED,220118.17
PO000059,S00204,23-05-2025,GBP,APPROVED,169208.53
PO000060,S00013,07-01-2025,GBP,CREATED,144193.27
PO000061,S00478,17-12-2024,USD,CREATED,414815.46
PO000062,S00380,25-02-2024,INR,CLOSED,152504.62
PO000063,S00238,20-12-2025,INR,CANCELLED,170891.65
PO000064,S00050,19-02-2025,GBP,CANCELLED,156049.28
PO000065,S00157,14-09-2024,USD,CREATED,6405.48
PO000066,S00179,01-07-2024,USD,APPROVED,464610.84
PO000067,S00386,18-07-2025,INR,APPROVED,273714.7
PO000068,S00173,13-09-2025,,CANCELLED,479023.62
PO000069,S00121,13-06-2024,GBP,APPROVED,89125.4
PO000070,S00343,21-07-2024,GBP,CANCELLED,9742.1
PO000071,S00320,27-04-2025,INR,CANCELLED,294062.59
PO000072,S00203,12-05-2024,USD,APPROVED,98921.16
PO000073,S00392,06-12-2025,USD,CREATED,398748.69
PO000074,S00280,02-08-2025,INR,CLOSED,159622.38
PO000075,S00239,08-08-2024,USD,CLOSED,333704.22
PO000076,S00256,11-11-2024,,CLOSED,296470.27
PO000077,S00318,20-07-2024,GBP,CREATED,170701.94
PO000078,S00439,25-11-2024,GBP,APPROVED,405937.82
PO000079,S00368,04-11-2025,EUR,CREATED,334415.59
PO000080,S00164,23-01-2025,USD,APPROVED,149216.9
PO000081,S00095,06-03-2024,EUR,APPROVED,252966.56
PO000082,S00219,26-12-2025,,APPROVED,285277.05
PO000083,S00221,19-06-2025,INR,CANCELLED,315928.33
PO000084,S00362,06-04-2025,INR,APPROVED,242269.22
PO000085,S00073,02-10-2024,INR,CLOSED,420202.53
PO000086,S00323,07-03-2025,USD,CLOSED,475680.18
PO000087,S00254,17-10-2025,INR,APPROVED,406684.05
PO000088,INVALID_SUP,07-10-2024,,CANCELLED,201612.85
PO000089,S00257,29-01-2025,GBP,CANCELLED,241793.25
PO000090,S00043,11-11-2024,,CREATED,396919.85
PO000091,S00115,08-09-2025,EUR,CREATED,133800.72
PO000092,S00281,20-09-2024,EUR,APPROVED,389273.8
PO000093,S00295,23-02-2024,GBP,CREATED,284220.6
PO000094,S00141,14-06-2024,,CLOSED,268731.91
PO000095,S00394,03-03-2025,USD,CANCELLED,270908.4
PO000096,S00222,15-08-2025,USD,APPROVED,145343.01
PO000097,S00017,31-03-2024,GBP,CLOSED,171031.37
PO000098,S00425,30-10-2024,USD,CANCELLED,431971.69
PO000099,S00062,31-07-2024,INR,APPROVED,404404.87
PO000100,S00307,27-08-2025,EUR,CANCELLED,78820.72
PO000101,S00073,27-11-2025,INR,APPROVED,401747.45
PO000102,S00297,03-12-2025,EUR,CLOSED,296413.13
PO000103,S00088,19-02-2025,EUR,CLOSED,141113.29
PO000104,S00139,26-11-2024,,CREATED,63472.4
PO000105,S00391,30-01-2024,GBP,CREATED,496205.54
PO000106,S00450,09-10-2025,INR,APPROVED,121087.01
PO000107,S00371,12-11-2025,EUR,APPROVED,379544.16
PO000108,S00353,20-07-2025,GBP,CANCELLED,66796.67
PO000109,S00330,29-03-2025,EUR,CANCELLED,184462.03
PO000110,S00039,18-09-2025,USD,CANCELLED,255384.8
PO000111,S00146,09-11-2025,EUR,CANCELLED,474878.31
PO000112,S00171,10-11-2025,,CREATED,433798.42
PO000113,S00440,05-11-2024,USD,CANCELLED,315594.48
PO000114,S00364,04-08-2024,EUR,CREATED,396817.35
PO000115,S00207,22-06-2024,INR,CANCELLED,411548.06
PO000116,S00259,08-04-2024,EUR,CLOSED,413313.53
PO000117,S00176,30-06-2024,,APPROVED,280901.77
PO000118,S00254,10-07-2025,EUR,CREATED,18201.18
PO000119,S00327,31-01-2025,GBP,CREATED,57739.78
PO000120,S00446,28-01-2025,INR,CANCELLED,225541.66
PO000121,S00498,28-10-2025,GBP,APPROVED,497825.5
PO000122,S00472,16-08-2025,INR,CLOSED,75283.62
PO000123,S00484,09-02-2025,EUR,CREATED,325566.92
PO000124,S00131,13-12-2025,USD,CLOSED,330576.95
PO000125,S00339,04-11-2024,INR,CREATED,195152.49
PO000126,S00160,02-08-2025,INR,CANCELLED,326020.04
PO000127,S00367,16-10-2025,USD,CREATED,102777.69
PO000128,S00040,21-08-2024,INR,APPROVED,257319.35
PO000129,S00232,22-10-2025,USD,CREATED,346276.54
PO000130,S00425,10-10-2025,USD,CANCELLED,345485.66
PO000131,S00250,05-12-2025,USD,APPROVED,188450.31
PO000132,S00381,20-07-2025,USD,CREATED,153242.5
PO000133,S00458,30-03-2024,EUR,APPROVED,188274.13
PO000134,S00423,31-05-2025,INR,APPROVED,29547.86
PO000135,S00294,08-12-2024,USD,APPROVED,217250.21
PO000136,S00376,11-09-2024,INR,APPROVED,459546.53
PO000137,S00321,08-05-2024,GBP,APPROVED,38777.46
PO000138,S00052,01-05-2025,INR,CREATED,292734.83
PO000139,S00200,10-02-2024,EUR,CANCELLED,153824.35
PO000140,S00073,13-08-2025,INR,CLOSED,320533.39
PO000141,S00130,03-03-2024,,CLOSED,388379.67
PO000142,S00360,26-07-2025,USD,CLOSED,98750.09
PO000143,S00316,29-05-2025,,APPROVED,372661.04
PO000144,S00155,20-01-2025,USD,APPROVED,244918.3
PO000145,S00058,07-10-2025,INR,CANCELLED,317231.58
PO000146,S00037,12-11-2024,,CREATED,493375.68
PO000147,S00485,06-01-2025,EUR,APPROVED,190353.32
PO000148,S00436,19-07-2025,,CANCELLED,179533.29
PO000149,S00356,30-05-2024,INR,CANCELLED,476998.76
PO000150,S00401,05-05-2024,USD,CREATED,291618.57
PO000151,S00008,09-11-2024,EUR,APPROVED,15112.57
PO000152,S00031,22-06-2025,GBP,CLOSED,312428.2
PO000153,S00262,05-10-2024,GBP,CANCELLED,349414.37
PO000154,S00043,17-03-2025,,APPROVED,135121.21
PO000155,S00162,13-10-2025,USD,APPROVED,487028.26
PO000156,S00081,25-01-2025,,CLOSED,192319.41
PO000157,S00331,25-05-2025,USD,CLOSED,347831.32
PO000158,S00380,25-11-2024,INR,CREATED,118462.28
PO000159,S00480,05-09-2025,GBP,CREATED,223952.78
PO000160,S00317,25-03-2024,USD,CLOSED,331370.19
PO000161,S00343,18-01-2026,INR,CREATED,1395.81
PO000162,S00072,06-01-2026,USD,APPROVED,245688.53
PO000163,S00181,03-05-2024,,CLOSED,79316.29
PO000164,S00066,01-09-2025,EUR,CREATED,384572.3
PO000165,S00016,10-12-2024,EUR,CANCELLED,132350.2
PO000166,S00033,23-10-2024,EUR,CREATED,245554.52
PO000167,S00267,23-12-2025,EUR,CREATED,247303.05
PO000168,S00296,31-05-2024,INR,CLOSED,74441.54
PO000169,S00402,20-01-2026,USD,CREATED,110344.23
PO000170,S00266,17-12-2024,USD,CREATED,428637.95
PO000171,S00007,13-04-2025,INR,CREATED,233241.12
PO000172,S00200,18-07-2025,INR,APPROVED,465235.84
PO000173,S00446,18-12-2025,USD,CANCELLED,108380.23
PO000174,S00130,29-02-2024,GBP,CLOSED,131985.27
PO000175,S00040,17-04-2025,,CLOSED,55297.47
PO000176,S00351,02-01-2026,USD,APPROVED,107708.46
PO000177,S00270,28-08-2024,USD,CANCELLED,29807.85
PO000178,S00244,14-09-2025,EUR,CLOSED,160286.97
PO000179,S00289,09-04-2025,GBP,CREATED,181304.28
PO000180,S00153,02-08-2024,,CLOSED,368485.87
PO000181,S00127,04-12-2024,GBP,CLOSED,293803.92
PO000182,S00258,27-11-2024,INR,APPROVED,71036.02
PO000183,S00484,22-10-2024,GBP,CREATED,112663.86
PO000184,S00181,13-02-2025,USD,CLOSED,-4261.67
PO000185,S00343,15-06-2025,GBP,CLOSED,47494.25
PO000186,S00277,16-06-2025,INR,CANCELLED,243474.58
PO000187,S00031,17-12-2025,INR,CLOSED,41978.45
PO000188,S00478,02-11-2025,INR,CANCELLED,348927.69
PO000189,S00194,12-05-2025,GBP,CREATED,288289.17
PO000190,S00264,26-04-2025,INR,CANCELLED,32789.39
PO000191,S00296,29-06-2025,USD,CANCELLED,329534.18
PO000192,S00068,28-04-2025,INR,CLOSED,126800.42
PO000193,S00165,07-07-2024,GBP,CLOSED,155619.15
PO000194,S00143,07-05-2025,INR,CREATED,471495.12
PO000195,S00071,23-08-2024,,CREATED,73482.33
PO000196,S00086,01-04-2025,GBP,CANCELLED,153586.81
PO000197,S00063,24-05-2025,,CLOSED,482140.53
PO000198,S00108,25-01-2025,GBP,CLOSED,228990.03
PO000199,S00443,29-10-2024,USD,CREATED,74595.77
PO000200,S00358,13-01-2025,EUR,CREATED,103585.5
PO000201,S00445,06-01-2025,EUR,APPROVED,41062.52
PO000202,S00130,09-09-2024,EUR,CANCELLED,254297.14
PO000203,S00353,27-04-2025,EUR,CLOSED,409145.26
PO000204,S00091,30-09-2025,USD,CANCELLED,426573.66
PO000205,S00290,02-07-2025,,APPROVED,42836.26
PO000206,S00053,23-05-2025,INR,CREATED,1038.25
PO000207,S00432,30-03-2024,INR,APPROVED,95057.18
PO000208,S00209,22-09-2024,EUR,CREATED,289073.52
PO000209,S00135,15-11-2024,USD,CREATED,498566.52
PO000210,S00103,14-03-2024,GBP,APPROVED,41449.21
PO000211,S00440,23-12-2024,EUR,CREATED,16561.64
PO000212,S00242,19-07-2024,USD,APPROVED,461686.52
PO000213,S00226,27-08-2025,GBP,CANCELLED,9888.56
PO000214,S00356,04-01-2025,GBP,APPROVED,173741.34
PO000215,S00472,16-07-2024,INR,CLOSED,136326.55
PO000216,S00459,06-10-2025,INR,CREATED,305123.82
PO000217,S00321,10-04-2025,INR,CLOSED,246940.26
PO000218,S00458,07-06-2025,,CANCELLED,25794.43
PO000219,S00147,08-08-2025,GBP,APPROVED,206713.58
PO000220,S00336,13-07-2025,,APPROVED,313530.97
PO000221,S00417,25-09-2025,,CREATED,494648.83
PO000222,S00407,24-04-2025,EUR,CANCELLED,269981.49
PO000223,S00254,11-07-2025,EUR,CLOSED,191132.54
PO000224,S00094,15-01-2025,USD,CLOSED,296543.76
PO000225,S00016,24-08-2024,EUR,CREATED,403370.21
PO000226,S00247,18-09-2024,,CLOSED,382255.3
PO000227,S00122,21-08-2025,INR,CREATED,120167.81
PO000228,S00126,08-05-2024,EUR,CREATED,380845.11
