invoice_id,supplier_id,po_id,invoice_date,invoice_amount,invoice_status
INV000001,S00066,PO000673,29-01-2024,245570.49,VALIDATED
INV000002,S00328,PO000546,06-07-2025,247476.12,VALIDATED
INV000003,S00059,PO001209,11-11-2024,158449.17,VALIDATED
INV000004,S00472,PO001945,20-05-2024,63841.77,RECEIVED
INV000005,S00139,PO001319,26-05-2025,74781.76,
INV000006,S00205,PO002001,13-03-2025,326136.47,REJECTED
INV000007,S00258,PO002255,29-10-2024,300024.85,RECEIVED
INV000008,S00399,PO000322,13-06-2025,407396.43,PAID
INV000009,S00396,PO002481,01-11-2025,60251.31,VALIDATED
INV000010,S00221,PO002199,14-09-2025,179107.93,VALIDATED
INV000011,S00471,PO000717,29-05-2024,423758.05,REJECTED
INV000012,S00099,PO001384,17-02-2024,213198.67,PAID
INV000013,S00217,PO002502,21-06-2025,408286,VALIDATED
INV000014,S00100,PO002938,04-11-2025,232137.21,
INV000015,S00368,PO000772,08-04-2025,51932.59,PAID
INV000016,S00232,PO000340,14-07-2025,340543.28,VALIDATED
INV000017,S00092,PO000821,29-05-2025,421922.27,RECEIVED
INV000018,S00185,PO001202,21-07-2025,204440.67,VALIDATED
INV000019,S00237,PO002291,07-12-2024,437748.01,REJECTED
INV000020,S00334,PO000663,11-05-2024,378001.57,RECEIVED
INV000021,S00457,PO000747,28-12-2024,527305.3,PAID
INV000022,S00224,PO001165,19-06-2025,13140.74,
INV000023,S00122,PO000060,22-05-2024,373520.37,
INV000024,S00279,PO001776,28-08-2025,305297.55,RECEIVED
INV000025,S00313,PO002967,02-08-2024,223846.34,REJECTED
INV000026,S00363,PO002297,20-07-2024,261976.03,
INV000027,S00204,PO002333,16-07-2025,342859.8,
INV000028,S00114,PO002736,14-06-2024,314765.97,RECEIVED
INV000029,S00297,PO002647,28-05-2025,73999.03,
INV000030,S00152,PO002302,30-08-2024,582019.45,REJECTED
INV000031,S00143,PO001593,06-04-2024,70625.89,VALIDATED
INV000032,S00344,PO000342,17-12-2024,359174.96,RECEIVED
INV000033,S00019,PO000582,04-01-2026,173443.67,PAID
INV000034,S00176,PO000464,15-05-2024,296663.97,PAID
INV000035,S00272,PO001624,24-10-2024,543619.23,REJECTED
INV000036,S00109,PO001365,04-11-2024,122619.82,VALIDATED
INV000037,S00457,PO001940,19-02-2025,20556.33,
INV000038,S00403,PO002430,25-07-2024,362721.59,REJECTED
INV000039,S00500,PO001780,26-01-2024,300973.54,
INV000040,S00192,PO002210,29-04-2024,499997.82,PAID
INV000041,S00110,PO000286,10-08-2025,53336.33,VALIDATED
INV000042,S00474,PO000275,06-05-2025,35623.68,REJECTED
INV000043,S00185,PO000346,13-12-2024,182817.98,
INV000044,S00132,PO001891,07-11-2024,124047.1,
INV000045,S00485,PO001649,03-03-2025,440435.62,PAID
INV000046,S00390,PO000824,29-10-2024,46903.09,PAID
INV000047,S00185,PO001798,03-12-2025,297161.92,RECEIVED
INV000048,S00484,PO000840,15-12-2024,408195.01,VALIDATED
INV000049,S00242,PO001354,12-01-2026,343962.29,RECEIVED
INV000050,S00291,PO002579,17-08-2025,327475.6,
INV000051,S00397,PO001355,23-03-2024,328803.32,
INV000052,S00236,PO002490,29-12-2024,113431.32,PAID
INV000053,S00451,PO002136,23-11-2024,179635.8,PAID
INV000054,S00468,PO000660,28-11-2024,113004.32,PAID
INV000055,S00296,PO001133,14-04-2024,461484.61,VALIDATED
INV000056,S00386,PO000416,21-12-2024,101293.73,
INV000057,S00226,PO000186,30-10-2024,254557.16,RECEIVED
INV000058,S00394,PO002559,31-10-2024,537228.22,RECEIVED
INV000059,S00288,PO000183,06-10-2025,409277,RECEIVED
INV000060,S00341,PO002353,05-07-2025,523680.88,
INV000061,S00305,PO000473,08-10-2025,190179.46,PAID
INV000062,S00388,PO000426,21-06-2025,175086.17,PAID
INV000063,S00410,PO000245,04-10-2024,335013.53,RECEIVED
INV000064,S00347,PO000325,23-08-2024,422421.2,PAID
INV000065,S00251,PO002578,14-09-2024,163654.95,VALIDATED
INV000066,S00313,PO002819,02-02-2024,240923.6,VALIDATED
INV000067,S00408,PO001699,22-10-2025,152794.81,VALIDATED
INV000068,S00089,PO001688,07-10-2024,181924.75,VALIDATED
INV000069,S00167,PO002835,03-03-2025,160164.7,VALIDATED
INV000070,S00365,PO002355,05-08-2024,443880.78,VALIDATED
INV000071,S00150,PO001395,16-03-2024,127129.14,REJECTED
INV000072,S00007,PO001185,31-08-2024,75895.93,RECEIVED
INV000073,S00280,PO000343,23-07-2025,272129.83,PAID
INV000074,S00072,PO001505,02-01-2026,403617.18,
INV000075,S00365,PO002875,07-03-2024,493515.55,REJECTED
INV000076,S00276,PO002668,01-11-2025,202452.32,VALIDATED
INV000077,S00236,PO001772,01-03-2025,301868.45,VALIDATED
INV000078,S00010,PO002329,24-07-2025,58738.25,
INV000079,S00053,PO000678,11-05-2024,91447.83,REJECTED
INV000080,S00203,PO000504,21-09-2024,561447.54,VALIDATED
INV000081,S00406,PO002200,18-06-2025,23475.03,REJECTED
INV000082,S00001,PO000662,15-11-2025,4806.26,REJECTED
INV000083,S00306,PO002892,11-03-2024,9184.15,REJECTED
INV000084,S00352,PO001012,22-12-2024,214768.99,RECEIVED
INV000085,S00432,PO002812,08-12-2025,190893.38,RECEIVED
